(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
3 5 14 (53)
2 5 14 (53)
6 8 10 (53)
6 10 13 (53)
6 10 11 (53)
4 6 10 (53)
6 9 10 (53)
6 7 10 (53)
6 10 12 (53)
3 6 10 (53)
2 6 10 (53)
6 10 14 (53)
6 8 13 (53)
6 8 11 (53)
4 6 8 (53)
6 8 9 (53)
6 7 8 (53)
6 8 12 (53)
3 6 8 (53)
2 6 8 (53)
6 8 14 (53)
6 11 13 (53)
4 6 13 (53)
6 9 13 (53)
6 7 13 (53)
6 12 13 (53)
3 6 13 (53)
2 6 13 (53)
6 13 14 (53)
4 6 11 (53)
6 9 11 (53)
6 7 11 (53)
6 11 12 (53)
3 6 11 (53)
2 6 11 (53)
6 11 14 (53)
4 6 9 (53)
4 6 7 (53)
4 6 12 (53)
3 4 6 (53)
2 4 6 (53)
4 6 14 (53)
6 7 9 (53)
6 9 12 (53)
3 6 9 (53)
2 6 9 (53)
6 9 14 (53)
6 7 12 (53)
3 6 7 (53)
2 6 7 (53)
6 7 14 (53)
3 6 12 (53)
2 6 12 (53)
6 12 14 (53)
2 3 6 (53)
3 6 14 (53)
2 6 14 (53)
8 10 13 (53)
8 10 11 (53)
4 8 10 (53)
8 9 10 (54)
7 8 10 (53)
8 10 12 (53)
3 8 10 (53)
2 8 10 (54)
8 10 14 (54)
10 11 13 (53)
4 10 13 (53)
9 10 13 (53)
7 10 13 (53)
10 12 13 (53)
3 10 13 (53)
2 10 13 (53)
10 13 14 (53)
4 10 11 (53)
9 10 11 (53)
7 10 11 (53)
10 11 12 (53)
3 10 11 (53)
2 10 11 (53)
10 11 14 (53)
4 9 10 (53)
4 7 10 (53)
4 10 12 (53)
3 4 10 (53)
2 4 10 (53)
4 10 14 (53)
7 9 10 (53)
9 10 12 (53)
3 9 10 (53)
2 9 10 (54)
9 10 14 (54)
7 10 12 (53)
3 7 10 (53)
2 7 10 (53)
7 10 14 (53)
3 10 12 (53)
